ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006334	GO:0006334	nucleosome assembly	32/916	118/18614	1.05045026585641e-15	5.29321888965046e-12	4.76793846986615e-12	H4C13/H2BC4/H4C9/H1-4/H4C3/H1-5/H2BC11/H2BC8/H4C5/H2BC17/HMGB2/H2BC13/H2BC7/H4C11/H2BC14/H4C1/H1-2/H4C14/H3C13/H4C12/H3C2/H4C2/H3C15/H3C14/H3C12/H2BC15/H3C7/H4C4/H2BC21/H3C10/H2BC6/H3C11	32
GO:0061644	GO:0061644	protein localization to CENP-A containing chromatin	13/916	18/18614	6.22518890868613e-14	1.56843634554347e-10	1.41279024075024e-10	H4C13/H4C9/H4C3/H2BC11/H4C5/H2AC8/H4C11/H4C1/H4C14/H4C12/H4C2/H2AC4/H4C4	13
GO:0034728	GO:0034728	nucleosome organization	32/916	138/18614	1.27475752688733e-13	2.14116772599508e-10	1.92868577401339e-10	H4C13/H2BC4/H4C9/H1-4/H4C3/H1-5/H2BC11/H2BC8/H4C5/H2BC17/HMGB2/H2BC13/H2BC7/H4C11/H2BC14/H4C1/H1-2/H4C14/H3C13/H4C12/H3C2/H4C2/H3C15/H3C14/H3C12/H2BC15/H3C7/H4C4/H2BC21/H3C10/H2BC6/H3C11	32
GO:0071459	GO:0071459	protein localization to chromosome, centromeric region	17/916	43/18614	6.32034703818083e-12	7.96205718134830e-09	7.17193063911466e-09	JARID2/H4C13/H4C9/AURKB/H4C3/H2BC11/HASPIN/H4C5/H2AC8/H4C11/H4C1/H4C14/H4C12/H4C2/H2AC4/CDT1/H4C4	17
GO:0065004	GO:0065004	protein-DNA complex assembly	39/916	242/18614	5.52015802771537e-11	5.56321526033155e-08	5.01114135063341e-08	CENPF/H4C13/H2BC4/HELLS/H4C9/H1-4/H4C3/H1-5/H2BC11/H2BC8/H4C5/H2BC17/HMGB2/H2BC13/CENPH/H2BC7/H4C11/H2BC14/HJURP/H4C1/H1-2/CENPK/H4C14/H3C13/H4C12/H3C2/H4C2/H3C15/H3C14/H3C12/H2BC15/H3C7/CDT1/H4C4/H2BC21/H3C10/H2BC6/H3C11/TCF4	39
GO:0045653	GO:0045653	negative regulation of megakaryocyte differentiation	11/916	20/18614	4.31343243831463e-10	3.62256434277791e-07	3.26307380245837e-07	H4C13/H4C9/H4C3/H4C5/MYB/H4C11/H4C1/H4C14/H4C12/H4C2/H4C4	11
GO:0071824	GO:0071824	protein-DNA complex subunit organization	39/916	263/18614	6.90053288902933e-10	4.9673978896884e-07	4.47445079962323e-07	CENPF/H4C13/H2BC4/HELLS/H4C9/H1-4/H4C3/H1-5/H2BC11/H2BC8/H4C5/H2BC17/HMGB2/H2BC13/CENPH/H2BC7/H4C11/H2BC14/HJURP/H4C1/H1-2/CENPK/H4C14/H3C13/H4C12/H3C2/H4C2/H3C15/H3C14/H3C12/H2BC15/H3C7/CDT1/H4C4/H2BC21/H3C10/H2BC6/H3C11/TCF4	39
GO:0045652	GO:0045652	regulation of megakaryocyte differentiation	14/916	38/18614	1.41626307300164e-09	8.7286105158856e-07	7.86241391765256e-07	H4C13/H4C9/H4C3/H4C5/MYB/HMGB2/H4C11/MTURN/H4C1/PRMT6/H4C14/H4C12/H4C2/H4C4	14
GO:0006338	GO:0006338	chromatin remodeling	50/916	402/18614	1.55898977263287e-09	8.7286105158856e-07	7.86241391765256e-07	JARID2/H4C13/TET1/H2BC4/HELLS/SATB1/H4C9/H1-4/KCNQ1OT1/H4C3/H1-5/H2BC11/H2BC8/HDAC4/H4C5/H2BC17/HMGB2/H2BC13/RAD54L/ARID1B/CDK2/H2BC7/H4C11/H2BC14/HJURP/H4C1/H1-2/H4C14/H3C13/H4C12/H3C2/H4C2/EOMES/DOT1L/H3C15/H3C14/H3C12/H2BC15/H3C7/H4C4/SAMD1/TEX15/H2BC21/ZNF274/KDM4D/H3C10/H2BC6/CDKN1C/H3C11/MECOM	50
GO:0050808	GO:0050808	synapse organization	54/916	466/18614	4.43300599833462e-09	2.23379172256081e-06	2.01211809103356e-06	AMIGO2/GRIN2B/PPFIA4/FZD5/NEFL/BCAN/CHRNA7/POU4F1/EPHB3/SEMA4D/FYN/CBLN1/ANK3/SNCB/NRG3/RAB17/CDK5R1/KIF1A/ERBB2/PLXNC1/CTNND2/MDGA1/C1QL1/BSN/EPHA7/SLITRK2/CACNB1/CAMKV/DAB2IP/FCGR2B/POTEKP/ADD2/PTPRF/SPTBN2/NTN1/SLC1A1/UNC13A/RAC3/ARHGAP33/EFNB3/CACNB3/WNT5A/SIPA1L1/ACHE/ERBB4/AGRN/SNTA1/DNER/SHANK1/CACNB4/PLXNB1/NPTX1/PALM/LRFN3	54
