ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045862	GO:0045862	positive regulation of proteolysis	31/662	365/18614	7.42004098309164e-06	0.0336202056943882	0.0316328062963381	BEX3/ADAM9/PSMC2/AIFM1/CASP8/RPS27L/EGF/PSMC4/APH1B/PSMC6/ARL6IP5/GPER1/BAG2/PSMD10/CCN2/HERPUD1/PSMC1/PLK3/F2R/EIF2AK3/ANXA2/CYFIP2/CAV1/ZFAND2A/ACVR1C/LRRK2/MAP3K5/CLU/SMAD3/CASP10/MELTF	31
GO:0042060	GO:0042060	wound healing	34/662	439/18614	1.9388735149487e-05	0.0382305465158947	0.0359706149192983	CD109/DDR2/SYT11/TFPI/DGKG/ITGA5/C1GALT1C1/CD59/TNFRSF12A/F11R/SLC7A11/EXT1/ABAT/PLA2G4A/F2R/MYOF/ANXA2/TIMP1/CAV1/DCBLD2/MAP3K5/ERBB3/ANXA1/SMAD3/PLAUR/DGKI/AHNAK/AXL/TMEFF2/PRSS56/F2RL1/SERPINB2/KDR/SERPING1	34
GO:0051051	GO:0051051	negative regulation of transport	36/662	483/18614	2.53126549432099e-05	0.0382305465158947	0.0359706149192983	GEM/ATP9A/EPHA3/SYT11/CCN3/EGF/KCNAB1/ARL6IP5/NDFIP2/MDFIC/SELENOS/SLC30A1/ERLEC1/ABAT/PEA15/COMMD1/F2R/HECW2/PPP3CC/ANXA2/CAV1/UBR3/ACVR1C/LRRK2/ERBB3/ANXA1/CD33/TNFRSF1A/NCKAP1L/RHBDF1/OXTR/ABCG5/IL11/SIRT4/RGS2/F2RL1	36
GO:0033627	GO:0033627	cell adhesion mediated by integrin	12/662	87/18614	5.72870594344025e-05	0.0648919165743194	0.0610559449235079	ADAM9/ITGB8/ITGAX/ITGA5/CCN3/EXT1/COL16A1/LPXN/FBN1/NCKAP1L/ITGA10/ITGA1	12
GO:0007035	GO:0007035	vacuolar acidification	7/662	33/18614	0.000132836550945298	0.0913186934516649	0.0859205493104213	ATP6V0E1/ATP6V1F/ATP6V1A/ATP6V1B2/CLIC4/ATP6V0D2/TCIRG1	7
GO:0045807	GO:0045807	positive regulation of endocytosis	12/662	96/18614	0.000150872418189756	0.0913186934516649	0.0859205493104213	B2M/EGF/ARRB1/PPP3CC/ANXA2/RAB21/LRRK2/CLU/NCKAP1L/LRP1/AXL/F2RL1	12
GO:0097191	GO:0097191	extrinsic apoptotic signaling pathway	20/662	227/18614	0.0001851766123244	0.0913186934516649	0.0859205493104213	BEX3/EYA4/MLLT11/CASP8/GPER1/BLOC1S2/SRPX/BCL2A1/TNFRSF12A/STRADB/PEA15/GCLM/CAV1/ERBB3/SMAD3/TLR3/TNFRSF1A/CASP10/IL19/DEPTOR	20
GO:0006979	GO:0006979	response to oxidative stress	31/662	434/18614	0.000196035879442998	0.0913186934516649	0.0859205493104213	ADAM9/DDR2/CPEB2/GLRX2/OXR1/AIFM1/PRNP/ARL6IP5/PON2/SELENOS/CYP2E1/PNPLA8/GSR/AIFM2/EPAS1/SLC7A11/PLK3/GCLM/MAPK13/FOSL1/MSRA/SRXN1/TLR6/BRF2/PPP2CB/NME5/LRRK2/MAP3K5/ANXA1/TREX1/AXL	31
GO:0030330	GO:0030330	DNA damage response, signal transduction by p53 class mediator	10/662	72/18614	0.000221780598557505	0.0913186934516649	0.0859205493104213	RPS27L/ZNHIT1/PSMD10/NDRG1/PLK3/NBN/BATF/BCL3/ANKRD1/GML	10
GO:0072659	GO:0072659	protein localization to plasma membrane	23/662	285/18614	0.000232415952104746	0.0913186934516649	0.0859205493104213	RAB8B/FYB1/EFR3A/EPHA3/GOLPH3L/PGRMC1/RAB13/PRNP/ARL6IP5/GPER1/ZDHHC2/PSMD10/TMEM59/F11R/SQSTM1/ATP2B4/RAB3C/TNFRSF1A/PDZK1/LRP1/GRIP1/EHD2/AMN	23
GO:0051048	GO:0051048	negative regulation of secretion	17/662	180/18614	0.000244238501050367	0.0913186934516649	0.0859205493104213	ATP9A/SYT11/CCN3/EGF/SLC30A1/ABAT/F2R/ACVR1C/ERBB3/ANXA1/TNFRSF1A/NCKAP1L/RHBDF1/OXTR/IL11/SIRT4/F2RL1	17
GO:0009308	GO:0009308	amine metabolic process	13/662	117/18614	0.000268735623463779	0.0913186934516649	0.0859205493104213	EPAS1/SLC7A11/ABAT/ATP2B4/KYNU/AOC3/TDO2/SIRT4/SULT1A1/SULT1C2/SULT1A3/PDE1B/SULT1A4	13
GO:1990778	GO:1990778	protein localization to cell periphery	26/662	345/18614	0.0002774745196195	0.0913186934516649	0.0859205493104213	RAB8B/FYB1/EFR3A/EPHA3/GOLPH3L/PGRMC1/RAB13/PRNP/ARL6IP5/GPER1/ZDHHC2/PSMD10/TMEM59/F11R/SQSTM1/IQSEC2/GNAI1/CAV1/ATP2B4/RAB3C/TNFRSF1A/PDZK1/LRP1/GRIP1/EHD2/AMN	26
GO:0034599	GO:0034599	cellular response to oxidative stress	23/662	290/18614	0.000298552012142067	0.0913186934516649	0.0859205493104213	DDR2/CPEB2/GLRX2/OXR1/AIFM1/ARL6IP5/SELENOS/PNPLA8/GSR/AIFM2/EPAS1/SLC7A11/MAPK13/MSRA/SRXN1/TLR6/BRF2/NME5/LRRK2/MAP3K5/ANXA1/TREX1/AXL	23
GO:0052547	GO:0052547	regulation of peptidase activity	30/662	425/18614	0.000302313043870001	0.0913186934516649	0.0859205493104213	CD109/BEX3/XIAP/AIFM1/TFPI/CASP8/RPS27L/SERPINB8/APH1B/ARL6IP5/GPER1/CCN2/ECM1/F2R/EIF2AK3/CYFIP2/TIMP1/CAV1/CTSB/ACVR1C/APLP2/MAP3K5/SMAD3/PLAUR/CASP10/LRP1/TIMP4/CST1/SERPINB2/SERPING1	30
GO:0062197	GO:0062197	cellular response to chemical stress	26/662	349/18614	0.000331554358819436	0.0938920499881791	0.0883417863959682	DDR2/CPEB2/GLRX2/OXR1/AIFM1/ARL6IP5/SELENOS/PNPLA8/GSR/AIFM2/EPAS1/SLC7A11/EIF2AK3/MAPK13/MSRA/SRXN1/TLR6/CAV1/BRF2/NME5/LRRK2/MAP3K5/ANXA1/TREX1/SCN2A/AXL	26
GO:0061041	GO:0061041	regulation of wound healing	14/662	137/18614	0.000379876941604513	0.0958610634967992	0.0901944051300484	CD109/DDR2/TFPI/TNFRSF12A/ABAT/F2R/ANXA2/CAV1/ANXA1/SMAD3/PLAUR/F2RL1/SERPINB2/SERPING1	14
GO:0002274	GO:0002274	myeloid leukocyte activation	20/662	240/18614	0.000385338095235357	0.0958610634967992	0.0901944051300484	ADAM9/ITGB8/SYT11/NDRG1/PLA2G4A/CXCL8/TLR6/LRRK2/LCP2/BATF/CLU/ANXA1/CD33/TLR3/PREX1/TREX1/MILR1/TLR1/F2RL1/RAB44	20
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	21/662	259/18614	0.00040197753397466	0.0958610634967992	0.0901944051300484	DERL1/AIFM1/EDEM3/CASP4/DNAJB9/PSMC6/SERINC3/SRPX/DNAJC3/SELENOS/HERPUD1/ERLEC1/UBXN8/EIF2AK3/CXCL8/CAV1/PPP2CB/LRRK2/MAP3K5/CLU/THBS4	21
GO:0042092	GO:0042092	type 2 immune response	7/662	40/18614	0.000467194744036644	0.102477805772457	0.0964200103099004	ECM1/IL27RA/BATF/ARG2/ANXA1/BCL3/TNFSF4	7
GO:0043280	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	13/662	124/18614	0.000474957828563584	0.102477805772457	0.0964200103099004	BEX3/AIFM1/CASP8/RPS27L/ARL6IP5/GPER1/CCN2/F2R/EIF2AK3/ACVR1C/MAP3K5/SMAD3/CASP10	13
GO:2001056	GO:2001056	positive regulation of cysteine-type endopeptidase activity	14/662	142/18614	0.000547012127975876	0.109061290705642	0.102614324096656	BEX3/AIFM1/CASP8/RPS27L/ARL6IP5/GPER1/CCN2/F2R/EIF2AK3/CYFIP2/ACVR1C/MAP3K5/SMAD3/CASP10	14
GO:0042176	GO:0042176	regulation of protein catabolic process	26/662	361/18614	0.000553610612718994	0.109061290705642	0.102614324096656	ADAM9/PSMC2/CUL4B/PSMD14/PSMC4/PSMC6/BAG2/ZDHHC2/PSMD10/PHF20L1/HERPUD1/PSMC1/PLK3/COMMD1/ANXA2/TIMP1/CAV1/ZFAND2A/UBR3/LRRK2/CLU/SMAD3/RHBDF1/RILP/LRP1/TIMP4	26
GO:0007229	GO:0007229	integrin-mediated signaling pathway	12/662	112/18614	0.000637347069194136	0.113200747159044	0.106509083853716	ADAM9/ITGB8/FYB1/ITGAX/ITGA5/CCN2/COL16A1/LAMB1/TIMP1/ITGA10/ITGA1/LAMA2	12
GO:1904377	GO:1904377	positive regulation of protein localization to cell periphery	9/662	68/18614	0.000651836439636671	0.113200747159044	0.106509083853716	EPHA3/PGRMC1/PRNP/GPER1/ZDHHC2/SQSTM1/GNAI1/ATP2B4/LRP1	9
GO:0030100	GO:0030100	regulation of endocytosis	18/662	214/18614	0.000663906642730155	0.113200747159044	0.106509083853716	B2M/EPHA3/SYT11/EGF/ABL2/ARRB1/PPP3CC/ANXA2/RAB21/CAV1/DNAJC6/LRRK2/CLU/ARC/NCKAP1L/LRP1/AXL/F2RL1	18
GO:0016064	GO:0016064	immunoglobulin mediated immune response	14/662	145/18614	0.000674557531073533	0.113200747159044	0.106509083853716	B2M/IL27RA/HLA-DPA1/C1S/APLF/NBN/BATF/CLU/BCL3/TCIRG1/TNFSF4/HLA-DMA/TREX1/SERPING1	14
GO:0007492	GO:0007492	endoderm development	10/662	83/18614	0.000709282172900976	0.114777054479083	0.107992210535675	ITGA5/DUSP1/DUSP5/LAMB3/PELO/EXT1/LAMB1/ARC/SMAD3/COL12A1	10
GO:0030193	GO:0030193	regulation of blood coagulation	9/662	70/18614	0.000807774446959369	0.124818907865502	0.117440457399966	TFPI/ABAT/F2R/ANXA2/CAV1/PLAUR/F2RL1/SERPINB2/SERPING1	9
GO:0019724	GO:0019724	B cell mediated immunity	14/662	148/18614	0.000826432848370131	0.124818907865502	0.117440457399966	B2M/IL27RA/HLA-DPA1/C1S/APLF/NBN/BATF/CLU/BCL3/TCIRG1/TNFSF4/HLA-DMA/TREX1/SERPING1	14
GO:0032700	GO:0032700	negative regulation of interleukin-17 production	5/662	22/18614	0.000891881953796719	0.126950257202797	0.119445815765389	PRNP/IL27RA/ARG2/NCKAP1L/TNFSF4	5
GO:0070997	GO:0070997	neuron death	26/662	373/18614	0.000896580938090818	0.126950257202797	0.119445815765389	DDR2/OXR1/XIAP/AIFM1/CASP8/PRNP/ARL6IP5/BACE1/CPEB4/PSMC1/SLC7A11/IL27RA/F2R/GCLM/TLR6/LRRK2/MAP3K5/CLU/ERBB3/SCN2A/AXL/ITGA1/EGR1/SULT1A3/KDR/SULT1A4	26
GO:1901800	GO:1901800	positive regulation of proteasomal protein catabolic process	12/662	117/18614	0.000941902589062601	0.129326079728565	0.121681195716221	PSMC2/PSMC4/PSMC6/BAG2/PSMD10/HERPUD1/PSMC1/PLK3/CAV1/ZFAND2A/LRRK2/CLU	12
