Name	Control_Rep1	Control_Rep2	sgRNA6_D3_Rep1	sgRNA6_D3_Rep2	sgRNA7_D3_Rep1	sgRNA7_D3_Rep2	sgRNA6_D5_Rep1	sgRNA6_D5_Rep2	sgRNA7_D5_Rep1	sgRNA7_D5_Rep2
ENSG00000259171	0	0	0	0	0	0	0	31.614	0	22.091
ENSG00000230039	0	0	0	0	1	0	0	0	0	0
ENSG00000258818	29.64	34.604	76.511	41.933	74.566	81.113	54.406	32.821	117.242	35.008
ENSG00000239327	0	0	0	0	0	0	0	0	0	0
ENSG00000145741	4380.41	3959.88	3637.35	6241.3	3497.64	4881.01	5055.68	9936.36	5788.97	5494.87
ENSG00000259060	0	0	0	0	0	1	0	0	0	0
ENSG00000256197	11	5	1	1	0	4	4	2	1	2
ENSG00000212306	0	0	0	0	0	0	0	0	0	0
ENSG00000258456	0	0	0	0	0	0	0	0	0	0
ENSG00000206678	0	0	0	0	0	0	0	0	0	0
ENSG00000137857	3	0	0	1	0	1	0	2	0	2
ENSG00000258908	0	0	0	0	0	0	0	0	0	0
ENSG00000165782	224.953	249.035	256.999	248.092	230.999	366.134	286.997	333	312.07	151
ENSG00000100823	2078.29	1828.65	1719.5	2276.63	1662.94	2053.53	2131.81	3153.94	2299.45	1894.83
ENSG00000092094	333.001	300.998	365	346.989	369.999	415.001	475	572.004	512.432	333
ENSG00000251192	11.639	13.333	8.324	13.827	5.392	16.808	11.147	12.039	9.473	11.919
ENSG00000200225	0	0	0	0	0	0	0	0	0	0
ENSG00000254846	0	0	1	0	0	0	0	0	0	0
ENSG00000225538	0	0	0	0	0	0	0	0	0	0
ENSG00000147955	2023.89	1995.78	1654.23	2332.58	1812.69	1653.24	2462.97	3388.01	2462.6	1973.9
ENSG00000220960	0	0	0	0	0	0	0	0	0	0
ENSG00000188897	84.002	115	73.001	74	58	60	65	82	69.999	44
ENSG00000260291	0	0	0	0	0	0	0	0	0	0
ENSG00000129484	583.001	710.576	610	729.995	560	790.257	689	1101.69	750.613	596
ENSG00000271098	0	0	0	0	0	0	0	0	0	0
ENSG00000215197	0	0	0	0	0	0	1	0	0	0
ENSG00000237473	0	0	0	1	0	0	0	0	0	0
ENSG00000142409	474	583.494	463.47	398.999	391	446	528	630	552.484	363
ENSG00000226270	0	0	0	0	0	0	0	0	0	0
ENSG00000277209	14263.1	13288.4	28635.8	30906.3	28375.8	34406.7	29516.5	37887.5	29061.8	25915.1
ENSG00000111729	1	0	3	1	1	2	0	1	4	2
ENSG00000222489	23	23	18	32	22	46	26	40	35	37
ENSG00000255268	0	0	0	0	0	0	0	0	0	0
ENSG00000100814	796.101	782.51	553.025	856.031	577.999	627	854.001	1218	816.999	698.999
ENSG00000258459	0	0	0	0	0	0	0	0	0	0
ENSG00000232403	0	1	2	2	3	0	2	1	1	1
ENSG00000176198	0	0	0	0	0	0	0	1	0	0
ENSG00000258625	0	0	0	0	0	0	0	0	0	0
ENSG00000258468	0	0	0	0	0	0	0	0	0	0
ENSG00000184394	0	0	0	0	0	0	0	0	0	0
ENSG00000164091	1964.76	1967.47	1618.41	2112.24	1510.49	2303.89	2323.4	3171.55	2311.52	1731.94
ENSG00000248545	0	0	0	0	0	1	0	0	0	0
ENSG00000176230	0	0	0	0	0	0	0	0	0	1
ENSG00000176246	0	0	0	0	0	0	0	0	0	0
ENSG00000180318	248	271	387.022	744.613	432.422	625.92	524	968.214	481.041	598.324
ENSG00000270306	0	0	0	0	0	0	0	0	0	0
ENSG00000258899	0	0	0	0	0	0	0	0	0	0
ENSG00000176253	0	0	0	0	0	0	0	0	0	0
ENSG00000287686	44	37.277	49	54	56	56	55	104	46	57
ENSG00000169484	0	0	0	0	0	0	0	0	0	0
ENSG00000285628	24.4	20.392	54.907	27.703	23.547	53.58	33.654	49.935	26.757	14.342
ENSG00000258822	0	0	0	0	0	0	1	0	0	0
ENSG00000176290	0	0	0	0	0	0	0	0	0	0
ENSG00000258438	0	0	0	0	0	0	0	0	0	0
ENSG00000232827	5.915	6.732	25.384	18.508	20.215	16.501	19.572	29.149	20.004	21.069
ENSG00000141314	8	10	3	4	3	7	6	8	14	6
ENSG00000257142	0	0	0	0	0	0	0	0	0	0
ENSG00000257493	0	0	0	0	0	2	0	0	0	0
ENSG00000230397	0	0	0	0	0	0	0	0	0	0
ENSG00000230840	0	0	0	0	0	0	0	0	0	0
ENSG00000260602	1.001	0	0	1	0	0	0	0	1	0
ENSG00000258324	0	0	0	0	0	0	0	0	0	0
ENSG00000257162	0	0	0	0	0	0	0	0	0	0
ENSG00000187537	1.002	2.545	0	0	1.061	0	0	0.639	0	0
ENSG00000254138	0	0	0	0	0	0	0	0	0	0
ENSG00000223396	8.013	14.987	7.01	20.036	8.019	6.007	16.036	17.814	14.01	3.33
ENSG00000149218	809.47	904.022	672	655	653.072	987	1281	1333.68	1336.83	747.829
ENSG00000278301	0	0	2	4	4	3	0	1	1	1
ENSG00000230052	0	0	0	0	0	0	0	0	0	0
ENSG00000223026	0	0	0	0	0	0	0	0	0	0
ENSG00000212171	0	0	0	0	0	0	0	0	0	0
ENSG00000287515	147.952	163.636	228.236	359.531	141.894	353.784	130.845	387.732	229.952	182.785
ENSG00000237447	0	0	0	0	0	0	0	0	0	0
ENSG00000258781	3	0	0	0	0	0	0	0	0	0
ENSG00000271632	0	0	0	0	0	0	0	0	0	1
ENSG00000277367	0	0	0	0	0	0	0	0	0	0
ENSG00000253420	0	0	0	1	2	1	0	1	0	0
ENSG00000277529	0	0	0	0	0	0	0	1.002	2	0
ENSG00000258076	0	0	0	0	1	0	0	0	0	0
ENSG00000251719	0	0	0	0	0	0	0	0	0	0
ENSG00000257504	0	0	0	0	0	0	0	0	0	0
ENSG00000257825	0	0	0	0	0	0	0	0	0	0
ENSG00000256843	0	0	0	0	0	0	0	0	0	0
ENSG00000086619	152.002	144.507	236.999	295.475	347.999	505.155	285	376.408	322	224.282
ENSG00000257959	0	0	0	0	0	0	0	0	0	0
ENSG00000203812	4221.94	3748.38	1561.74	954.966	1535.06	1112.71	1573.77	950.801	1213.2	921.009
ENSG00000206906	0	0	0	0	0	0	0	0	0	0
ENSG00000272160	0	0	0	0	0	0	0	0	0	1
ENSG00000181404	239.558	264.272	221.653	165.815	156.829	231.932	244.011	187.645	195.678	97.927
ENSG00000215398	0	1	0	0	0	0	0	0	0	0
ENSG00000167700	175.001	202.177	190	163	98	90	205.001	248	168.074	140
ENSG00000260615	0	0	1	0	0	2	0	1	0	0
ENSG00000285672	0	0	0	0	0	2	1	0	1	2
ENSG00000265450	0	0	0	0	0	0	0	0	0	0
ENSG00000199335	0	0	0	0	0	0	0	0	0	0
ENSG00000264539	0	0	0	0	0	0	0	0	0	0
ENSG00000251506	0	0	0	0	0	0	0	0	0	0
ENSG00000283347	0	0	0	0	0	0	0	0	0	0
ENSG00000185989	718.524	886.092	843.996	747.225	694	936.314	1027.05	1190.25	1139.13	609
ENSG00000283199	195	260	143	105	123	123	177	116	163	83
ENSG00000286699	113.755	108.99	143.867	338.885	204.8	264.122	150.86	530.08	234.739	267.869
ENSG00000274766	0	0	0	0	0	0	0	0	0	0
ENSG00000146374	0	0	1	0	0	1	0	0	0	0
ENSG00000267289	0	0	1	0	0	0	3	1	1	0
ENSG00000279770	0	0	0	0	2	0	0	0	0	0
ENSG00000231228	0	0	0	0	0	0	0	0	1	0
ENSG00000185974	0	0	0	1	0	0	3	0	1	1
ENSG00000150403	760.001	776.999	956.612	913.073	868.999	1349.11	1286.75	1260	1261.78	631.781
ENSG00000153531	46	32	25	90	34.025	67	57	128.001	61	68.999
ENSG00000279153	0	0	0	0	0	0	0	0	0	0
ENSG00000232662	0	2	3	2	1	5	2	6	6	0
ENSG00000139842	1499.14	1633.8	1781.07	2611.79	1942	3067.87	2197.7	3900.37	2363.12	2112.65
ENSG00000269125	3	0	6	1	2	1	4	2	4	1
ENSG00000283828	75	71	55	95	50	107	128	140.062	102	63
ENSG00000230371	0	0	0	0	0	0	0	0	0	0
ENSG00000173611	340.265	401.057	246.033	293.001	230.2	218.278	387.479	428.156	370.313	277.597
ENSG00000104974	0	0	0	0	0	0	0	0	0	0
ENSG00000057593	0	0	0	1	1	0	2	0	1	1
ENSG00000251954	0	0	0	0	0	0	0	0	0	0
ENSG00000235280	18	29	6	4	13	6	13	18	6	7
ENSG00000249943	0	0	0	0	0	0	0	0	0	0
ENSG00000250164	0	0	0	0	0	0	0	0	0	0
ENSG00000068650	7233.34	8230.1	2501.33	3413.44	2363	2024.31	4344.53	5780.23	4364.65	3124
ENSG00000153498	0	0	0	0	0	0	0	0	0	0
ENSG00000260385	0	0	0	0	0	0	0	0	0	0
ENSG00000226181	0	0	0	0	0	0	0	0	0	0
ENSG00000153495	1	1	2	4	0	1	0	2	3	3
ENSG00000277448	0	0	0	0	0	0	0	0	0	0
ENSG00000227352	0	0	0	0	0	0	0	0	0	0
ENSG00000252765	0	0	0	0	0	2	0	0	0	0
ENSG00000102606	2162.48	2155.19	1867.36	2552.36	1824.3	2757.32	2348.31	3855.24	2538.93	1929.28
ENSG00000250971	0	0	0	0	0	0	1	0	0	0
ENSG00000286824	0	0	0	0	0	0	0	0	0	0
ENSG00000229152	81	95	78	169	93	80.301	112	185	127	98
ENSG00000234016	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0
ENSG00000189068	0	0	0	0	0	0	0	0	0	0
ENSG00000088448	837.442	843	795.147	1213	768	936.214	1163.03	1732.55	1089.98	977.028
ENSG00000225239	0	0	0	0	0	0	0	0	1	0
ENSG00000134905	626.018	684.015	799.645	795	781.998	1035.33	957.296	1117	953.031	594.026
ENSG00000117528	1954.89	1846.09	2335.72	3130.25	2726.89	3718.92	3174.16	4246.8	3198.9	2221.92
ENSG00000213995	524.747	536	683.001	835.107	634	750.959	863.152	1167.4	930	598.702
ENSG00000279237	0	0	0	0	0	0	0	0	0	0
ENSG00000188755	0	0	0	0	0	0	0	0	1.019	0
ENSG00000231428	0	0	0	0	0	0	0	0	0	0
ENSG00000276269	0	0	0	0	0	0	0	0	0	0
ENSG00000223087	0	0	0	0	0	0	0	0	0	0
ENSG00000274331	0	0	0	0	0	0	0	0	0	0
ENSG00000117713	6250.7	6773.53	6788.11	5807.11	6527	6578.14	7611.18	7377.76	7903.05	4158.91
ENSG00000201161	0	0	0	0	0	0	0	0	0	0
ENSG00000275248	0	1	0	1	0	0	0	0	0	2
ENSG00000234854	0	0	0	0	0	0	0	0	0	0
ENSG00000287964	0	0	1	0	0	0	0	0	0	1
ENSG00000229792	0	0	0	0	0	0	0	0	0	0
ENSG00000225369	0	0	7.236	21.386	0	0	0	15.391	22.229	11.638
ENSG00000236053	0	0	0	0	0	0	0	0	0	0
ENSG00000041515	799.443	919.339	775.282	1411.36	769.149	966.255	813.325	1779.07	959.336	886.404
ENSG00000274718	0	0	0	0	1	0	0	0	0	0
ENSG00000201847	0	0	0	0	0	0	0	0	0	0
ENSG00000279157	0	0	0	0	0	0	0	0	0	0
ENSG00000239650	6.218	4.279	0	4.506	5.74	0	12.832	6.239	2.699	6.232
ENSG00000287546	0	0	0	0	0	0	0	0	0	0
ENSG00000206844	0	0	0	0	0	0	0	0	0	0
ENSG00000227590	0	0	0	0	0	0	0	0	0	0
ENSG00000234863	0	0	0	0	0	0	0	0	0	0
ENSG00000230156	0	0	0	0	0	0	0	0	0	0
ENSG00000277034	0	0	0	0	0	0	0	0	0	0
ENSG00000284966	0	0	1	0	0	0	0	0	2	0
ENSG00000223963	15	1	0	0	0	1	0	0	0	0
ENSG00000174418	0	0	0	0	0	0	0	0	0	0
ENSG00000286780	0	0	0	0	0	0	0	0	0	0
ENSG00000275502	0	0	0	0	0	0	0	0	0	0
ENSG00000215441	0	0	0	0	0	0	0	0	0	0
ENSG00000230671	0	0	0	0	0	0	0	0	0	0
ENSG00000232307	0	0	0	0	0	0	0	0	0	0
ENSG00000287734	0	0	0	0	0	1	0	0	0	0
ENSG00000234551	0	0	0	0	0	0	0	0	0	0
ENSG00000250878	1	0	2	6	1	0	4	0	6	1
ENSG00000166986	1825.62	1641.64	2449.99	2830.28	2530.87	3053.22	3017.04	3912.2	3438.92	2220
ENSG00000270276	167.713	177.643	55.868	14.802	0	0	130.076	167.398	178.226	82.384
ENSG00000134897	791.947	807.057	643.546	1199.8	805.335	962.509	796.846	1717.58	816.334	823.638
ENSG00000177551	0	0	0	0	0	1	0	0	0	0
ENSG00000277947	0	0	0	0	0	0	0	0	0	0
ENSG00000286312	0	0	2	0	0	2	0	0	0	1
ENSG00000251804	0	0	0	0	0	0	0	0	0	0
ENSG00000180015	29.174	14.404	21.479	10.092	8.64	28.506	18.517	26.721	35.912	14.779
ENSG00000139780	0	0	0	0	0	0	0	1	0	0
ENSG00000184111	4	0	0	0	0	0	0	0	0	0
ENSG00000261057	0	0	0	0	0	0	0	0	0	0
ENSG00000261377	70.985	82.094	54.964	75.055	71	54	76	92	99.997	57.9
ENSG00000272143	0	0	0	0	0	0	0	0	1	0
ENSG00000251253	0	0	0	0	0	0	0	0	0	0
ENSG00000219492	0	0	0	0	0	0	0	0	0	0
ENSG00000139890	2	0	1	1	1	0	0	4	2	0
ENSG00000234445	0	0	0	0	0	0	0	0	0	0
ENSG00000166272	1110.13	1116.01	1369.49	1489.85	1652.4	1807.04	1970.02	2218.2	1891.48	1166.01
ENSG00000201690	0	0	0	0	0	0	0	0	0	0
ENSG00000181781	3	0	1	1	0	0	1	5	5	1
ENSG00000265164	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	968	1017.34	991.975	1308.47	1168.33	1581.26	1363.42	2056	1575.11	1039
ENSG00000201155	0	0	0	0	0	0	0	0	0	0
ENSG00000214051	0	0	0	0	0	0	0	0	0	0
ENSG00000233009	6	14	4	4	5	2	5	14	5	2
ENSG00000269043	0	0	0	0	1	0	0	0	0	0
ENSG00000237082	0	0	0	0	0	1	0	0	0	0
ENSG00000167858	0	0	0	0	0	0	0	0	0	0
ENSG00000234650	1	0	0	0	0	0	0	0	0	0
ENSG00000287330	0	0	0	0	0	0	0	0	2	2
ENSG00000228501	1	1	1.001	0	0	0	0	0	0	1.001
ENSG00000253833	0	0	0	1.009	0	0	3.038	0	0	0
ENSG00000236554	2	0	0	0	0	0	0	0	1	0
ENSG00000259837	0	0	0	0	0	0	0	0	0	0
ENSG00000274605	50	54	73	90	99	80	65	114	85.026	75
ENSG00000212388	0	0	0	0	0	0	0	0	0	0
ENSG00000225999	0	0	0	0	0	0	0	0	0	0
ENSG00000139800	430	379.585	343	645.002	381.526	619.116	445.275	994.048	528	479
ENSG00000135842	0	0	0	0	0	3	0	0	0	0
ENSG00000234303	0	0	0	0	0	0	0	0	0	0
ENSG00000263615	0	0	0	0	0	0	0	0	0	0
ENSG00000125246	144.461	129	98	196	84.999	110.996	109	337.015	132.842	164
ENSG00000159388	66	55	39	31	39	41	46	62	55	30
ENSG00000234239	1	3	1	0	0	0	0	2	0	1
ENSG00000220505	0	0	0	0	0	0	0	0	0	0
ENSG00000203441	9	3	0	6	2	2	5	3	6	0
ENSG00000285448	0	0	0	0	0	0	0	0	0	0
ENSG00000218502	1.001	1	0	0	2.005	0	1	0	2.003	0
ENSG00000228889	67.999	55	19	34	22	15	23	52	41	29
ENSG00000249550	27.001	21	92.001	159.999	77	182.999	110.001	208	104	112
ENSG00000260992	6	9	2	0	2	3	2	3	1	1
ENSG00000243366	0	0	0	0	0	0	0	0	0	0
ENSG00000237980	0	0	0	0	0	3	0	0	0	0
ENSG00000286512	0	0	0	0	0	0	0	1	0	0
ENSG00000267374	112.002	163	64.999	144.001	103.999	89	105	191.879	87.001	111.998
ENSG00000271150	0	0	0	0	0	0	0	0	0	0
ENSG00000102572	2483.95	2173.2	1844.74	2252.39	1778.27	2209.34	1576.17	2297.54	1481.8	1177.21
ENSG00000151577	0	0	0	0	0	0	0	0	0	0
ENSG00000266107	0	0	0	0	0	0	0	0	0	0
ENSG00000269599	0	1	0	0	0	0	1	0	0	0
ENSG00000275458	0	0	0	0	0	1	0	0	0	2
ENSG00000222969	0	0	0	1	1	2	1	0	1	0
ENSG00000257869	0	0	0	0	0	0	0	0	0	0
ENSG00000139797	1	0	1	0	0	2	0	0	0	0
ENSG00000152767	6347.72	6731.69	4364.53	5131.73	3997.88	4790.41	5688.58	7102.39	5820	3539.79
ENSG00000065150	6062.68	6079.59	3503.43	5418.02	4101.37	4935.13	4730.24	8438.07	5230.02	4764.15
ENSG00000254924	0	0	0	0	0	0	0	0	0	0
ENSG00000243918	0	1	0	0	0	0	1.001	0	0	2.005
ENSG00000233291	0	0	0	0	0	0	0	0	0	0
ENSG00000130508	0	0	0	0	0	0	0	0	0	0
ENSG00000276573	7	3	7	0	2	5	1	3	4	1
ENSG00000125249	654.007	628	410.146	666.729	434.176	696.006	581.015	1048	676.001	585.072
ENSG00000286416	8	15	8	22	14	11	13	33	17	19
ENSG00000278180	0	0	0	0	0	0	0	0	0	0
ENSG00000202290	0	0	0	0	0	0	0	0	0	0
ENSG00000252510	0	0	0	0	0	0	0	0	0	0
ENSG00000222472	0	0	0	0	0	0	0	0	0	0
ENSG00000234267	0	0	0	0	0	0	0	0	0	0
ENSG00000272772	5.392	0	5.684	2.271	3.301	3.748	0	16.375	3.487	1.159
ENSG00000205560	366.779	389.913	213.618	210.062	196.06	213.585	253.269	305.075	276.414	175.898
ENSG00000235137	0	0	0	0	0	0	0	0	0	0
ENSG00000273771	0	0	0	0	0	0	0	0	0	0
ENSG00000242614	0	0	0	0	0	0	0	0	0	0
ENSG00000226977	1	1	1	0	2	1	4	0	1	2
ENSG00000232373	25	40	64	74.249	64	91	60	71.039	76	30
ENSG00000227714	0	0	1	0	0	1	2	0	0	0
ENSG00000229622	28	31	42	66	45	56	32	66	43	31
ENSG00000247400	50	37	64	82.01	67	84.116	66	131	83	67.078
ENSG00000083799	190	216.062	287.175	395.795	375.346	927.335	315.001	573.001	428	291.245
ENSG00000223392	2	4	0	2	0	0	0	0	1	1
ENSG00000159516	0	0	0	0	0	0	0	1	0	0
ENSG00000134873	3	0	2	0	0	2	2	2	2	1
ENSG00000242113	0	0	0	0	0	0	0	0	0	0
ENSG00000256315	0	0	0	0	0	1	0	0	0	1
ENSG00000271492	0	0	0	0	0	0	0	0	0	0
ENSG00000261154	0	0	0	0	0	0	0	0	0	0
ENSG00000287635	0	0	0	0	0	1	0	2	1	0
ENSG00000183753	0	0	0	0	0	0	0	0	0	0
ENSG00000080166	15083.7	13054.5	2631.27	12380.2	2999.26	2468.59	3886.04	17263.1	4743.11	9734.53
ENSG00000212559	0	0	0	0	0	0	0	0	0	0
ENSG00000235784	0	0	0	0	0	0	0	0	0	0
ENSG00000286843	0	0	0	0	0	0	0	0	0	0
ENSG00000079156	56	40	38	30	26	41	28	57	61	49.999
ENSG00000287117	0	0	0	0	0	0	0	2	0	1
ENSG00000263572	0	0	0	0	0	0	0	0	0	0
ENSG00000278177	0	0	0	0	0	0	0	0	0	0
ENSG00000232849	0	0	0	0	0	0	0	0	0	0
ENSG00000282993	0	0	0	0	0	0	0	0	0	0
ENSG00000287159	2	4	0	3	5	0	1	2	0	0
ENSG00000283097	513	474	71	269	70	60	164	381.048	165	216
ENSG00000179399	278	305.207	50	156	57	71	140	356	193	188.234
ENSG00000261298	0	0	0	0	0	0	0	0	0	0
ENSG00000283705	0	0	0	0	0	0	0	0	0	0
ENSG00000283762	0	0	0	0	0	0	0	0	0	0
ENSG00000215417	359	300.001	214.999	315.182	204	309	270	432.069	269.009	237.006
ENSG00000227983	0	0	0	0	0	1	0	0	0	0
ENSG00000255225	0	0	0	0	0	0	0	0	0	0
ENSG00000275768	0	0	0	0	0	0	0	0	0	0
ENSG00000283783	0	0	0	0	0	0	0	0	0	0
ENSG00000283792	0	0	0	0	0	0	0	0	0	0
ENSG00000237659	0	0	0	0	0	0	0	0	0	0
ENSG00000224419	0	0	0	0	0	0	0	0	0	0
ENSG00000204392	382	300.211	249.999	265	206	199	278	388.001	296	281.51
ENSG00000261446	0	0	0	0	0	0	0	0	0	0
ENSG00000200733	0	0	0	0	0	0	0	0	0	0
ENSG00000234227	0	0	0	0	0	0	0	0	0	0
ENSG00000222095	0	0	0	0	0	0	0	0	0	0
ENSG00000232225	0	0	0	0	0	0	0	0	0	0
ENSG00000285142	0	0	0	0	0	0	0	0	0	0
ENSG00000233211	0	0	1	0	1	2	0	2	6	1
ENSG00000225289	0	0	0	0	0	0	0	0	0	0
ENSG00000010278	2	1	0	0	0	1	5	0	0	0
ENSG00000228446	33	23	23	36	17	34	18	44	24	13
ENSG00000236461	0	0	0	0	0	0	0	0	0	0
ENSG00000272046	35	52	39	77.137	50	56	56	107	66.031	56
ENSG00000223404	1	5	10	10	6	10	4	5	5	7
ENSG00000182346	0	0	0	0	0	0	0	0	0	0
ENSG00000260394	2	0	1	0	4	2	3	2	0	0
ENSG00000267779	0	0	0	0	0	0	0	0	0	0
ENSG00000232254	0	0	0	0	0	0	0	0	0	0
ENSG00000277640	0	0	0	2	0	0	1	0	0	0
ENSG00000272410	148.882	192.397	230.223	118.489	118.197	179.874	107.066	323.799	177.028	138.976
ENSG00000265226	0	0	0	0	0	0	0	0	0	0
ENSG00000232636	0	0	0	0	0	0	0	0	0	0
ENSG00000285699	0	0	0	0	0	0	0	0	0	0
ENSG00000283371	0	0	0	0	0	0	0	0	0	0
